index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
49	1.0	0.134	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1130635062158995457	2316	https://prospect.org/article/secret-vote-could-wipe-away-consumer-rights	https://twitter.com/SenWarren/status/1130635062158995457	1092	1558399320	A group of lawyers, professors & judges are about to vote on whether to subject consumers to abusive contracts they don't negotiate and can't opt out of. This dangerous proposal will shape decisions in courts across the country – it should be voted down. ...	[]	[]		SenWarren
50	7.0	0.1128	time, support, stop, end, policy, year, step, realdonaldtrump, thousand, child	1130610384736608267	2120	https://twitter.com/NativeChildren/status/1129060926701821953	https://twitter.com/SenWarren/status/1130610384736608267	437	1558393440	I introduced this legislation to help provide tribal nations with the resources they need to combat child abuse & neglect. I’m very grateful for  @NCAI1944 &  @NativeChildren's support of this bill. ...	[]	['NCAI1944', 'NativeChildren']		SenWarren
51	13.0	0.1369	student, federal, call, student_loan, debt, profit, bad, usedgov, school, college	1130566552066101249	2673	https://www.npr.org/2019/05/16/723568597/cfpb-chief-says-education-department-is-blocking-student-loan-oversight	https://twitter.com/SenWarren/status/1130566552066101249	1042	1558383000	The  @CFPB and  @usedgov are supposed to protect students from loan companies that break the law. But  @BetsyDeVosED has given these companies the green light to ignore regulators’ oversight. Students deserve better than this. ...	[]	['CFPB', 'usedgov', 'BetsyDeVosED']		SenWarren
52	2.0	0.1064	act, family, american, introduce, plan, home, start, housing, lose, bring	1129512474414321664	3065	https://twitter.com/NRDems/status/1128714619583909888	https://twitter.com/SenWarren/status/1129512474414321664	1268	1558131720	Rising carbon dioxide levels are driving the climate crisis & threaten the safety of every American. But  @SecBernhardt “hasn’t lost any sleep over it.” We need an  @Interior Secretary who cares more about our environment than the profits of his former and future lobbying clients. ...	[]	['SecBernhardt', 'Interior']		SenWarren
53	6.0	0.106	family, put, good, stand, kid, life, hear, happen, colleague, senator	1129496081757286402	1181	https://www.bostonglobe.com/metro/2019/05/17/arlington-rabbi-vows-not-intimidated-after-home-targeted-arsonist/udaJWTtshhtordTui5LY5N/story.html	https://twitter.com/SenWarren/status/1129496081757286402	338	1558127820	These actions are meant to inspire fear in places of worship and joy. But we won’t let that happen. By coming together to stand against anti-Semitism and other forms of bigotry, our communities will only grow stronger. ...	[]	[]		SenWarren
54	9.0	0.1095	public, health, state, cut, community, care, federal, service, provide, fund	1129443001628004358	3193		https://twitter.com/SenWarren/status/1129443001628004358	645	1558115160	Exactly 15 years after Massachusetts became the first state to legalize gay marriage, the House has passed the  #EqualityAct. I'll fight to do the same in the Senate. Because LGBTQ Americans deserve to be treated equally, no matter where they live – or who they love.	['EqualityAct']	[]	pic.twitter.com/zgkX6QsM0s	SenWarren
55	8.0	0.119	watch, woman, day, join, speak, talk, glad, head, senate_floor, boston	1129417969409437704	9008		https://twitter.com/SenWarren/status/1129417969409437704	2539	1558109160	Over and over again, I’ve spoken out against right-wing efforts to ban abortion. Now it's time for Congress to act. I have a plan to secure women’s access to reproductive care through federal, statutory rights that parallel Roe’s protections. Let’s  #StopTheBans.	['StopTheBans']	[]	pic.twitter.com/2VfHIRN10R	SenWarren
56	11.0	0.0943	realdonaldtrump, law, wellsfargo, president, investigation, fire, show, justice, accountability, charge	1129100157059031040	1869	https://www.brennancenter.org/publication/ending-mass-incarceration-ideas-todays-leaders	https://twitter.com/SenWarren/status/1129100157059031040	610	1558033380	"We have two separate & very unequal justice systems: one for the wealthy & well connected, & one for everyone else. Read my new essay with the  @BrennanCenter on how we enforce the principle engraved on the Supreme Court: Equal Justice Under Law."" ..."""	[]	['BrennanCenter']		SenWarren
57	13.0	0.153	student, federal, call, student_loan, debt, profit, bad, usedgov, school, college	1129068735573233664	5629		https://twitter.com/SenWarren/status/1129068735573233664	2055	1558025880	This student loan company is literally under investigation and being sued by states and the federal government for cheating students to make more money. But congrats on breaking into the  #Fortune500,  @Navient. I didn’t know they had a special section for scammers.	['Fortune500']	['Navient']	pic.twitter.com/6Pd1LUPOqH	SenWarren
58	1.0	0.1667	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1129047230122483713	4864	https://www.washingtonpost.com/opinions/if-judicial-nominees-dont-support-brown-v-board-they-dont-support-the-rule-of-law/2019/05/12/d12c542a-734d-11e9-8be0-ca575670e91c_story.html	https://twitter.com/SenWarren/status/1129047230122483713	1806	1558020780	Tomorrow is the anniversary of the landmark Brown v. Board of Education. 65 years later, Wendy Vitter,  @realDonaldTrump’s pick for the LA District Court, won't say whether that case was correctly decided. The Senate must reject her nomination.  #CourtsMatter ...	['CourtsMatter']	['realDonaldTrump']		SenWarren
