index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
648	11.0	0.1092	california, protect, consumer, officer, bill, privacy, service, forget, loss, protection	212958586232516608	2	http://fb.me/1PMGYILlt	https://twitter.com/KamalaHarris/status/212958586232516608	15	1339608240	California Attorney General Kamala D. Harris has sponsored a package of bills, the Homeowners Bill of Rights,... 	[]	[]		KamalaHarris
649	0.0	0.0667	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	212377859019378689	0	http://fb.me/168mrVSmJ	https://twitter.com/KamalaHarris/status/212377859019378689	1	1339469760	"I posted 4 photos on Facebook in the album "" "	[]	[]		KamalaHarris
650	12.0	0.0904	make, honor, crime, stand, homeowner, lead, sacrifice, award, court, reform	211899995706769409	1	http://fb.me/1kTPGGKnP	https://twitter.com/KamalaHarris/status/211899995706769409	5	1339355820	I am honored to advocate for California's LGBT community and am honored to be presented with the George Moscone... 	[]	[]		KamalaHarris
651	14.0	0.1002	attorney, general, announce, settlement, file, scam, arrest, target, agree, barack_obama	211899832816771072	0	http://fb.me/2czzV1qIy	https://twitter.com/KamalaHarris/status/211899832816771072	3	1339355820	Attorney General Kamala D. Harris, Honored with George Moscone Ally Award for LGBT Advocacy, to Ride in Sunday's... 	[]	[]		KamalaHarris
652	0.0	0.092	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	211899435645550593	0	http://fb.me/EriUv81R	https://twitter.com/KamalaHarris/status/211899435645550593	2	1339355700	The defendants defrauded investors with promises of guaranteed returns and even convinced some victims to... 	[]	[]		KamalaHarris
653	14.0	0.1667	attorney, general, announce, settlement, file, scam, arrest, target, agree, barack_obama	211899314497273856	0	http://fb.me/1OCDQZvqA	https://twitter.com/KamalaHarris/status/211899314497273856	7	1339355700	Attorney General Kamala D. Harris Announces Arrest of Two Individuals in Foreclosure Scam Targeting Latino Community 	[]	[]		KamalaHarris
654	3.0	0.0998	law, tune, receive, equal, pay, website, large, include, lose, askkamala	210486369519284224	1	http://fb.me/1kbrouDC8	https://twitter.com/KamalaHarris/status/210486369519284224	9	1339018800	President Barack Obama has made equal pay for women a priority since day one. He believes women should be paid... 	[]	[]		KamalaHarris
655	12.0	0.09	make, honor, crime, stand, homeowner, lead, sacrifice, award, court, reform	210483838734970880	1	http://fb.me/1FQkOAmga	https://twitter.com/KamalaHarris/status/210483838734970880	1	1339018200	What’s most important, and what I would love to see, is the highest court in the land ultimately make a decision,... 	[]	[]		KamalaHarris
656	14.0	0.184	attorney, general, announce, settlement, file, scam, arrest, target, agree, barack_obama	210409687097683969	0	http://fb.me/1Vm3mj10T	https://twitter.com/KamalaHarris/status/210409687097683969	1	1339000500	Attorney General Kamala D. Harris and District Attorney Jill Ravitch Announce Arrest in Multi-Million Dollar Scam 	[]	[]		KamalaHarris
657	10.0	0.0979	woman, event, weekend, month, action, speak, check, leader, tomorrow, national	210077847988092928	0	http://fb.me/1WcO6eFp0	https://twitter.com/KamalaHarris/status/210077847988092928	8	1338921420	I am glad that the full court has decided to leave intact the original ruling, that Proposition 8 is... 	[]	[]		KamalaHarris
